,p_GEO.id2,p_GEO.display-label,p_HC01_VC03
14487,2964550,"St. Joseph city, Missouri",76819
25731,4857200,"Pharr city, Texas",76727
22884,4269000,"Scranton city, Pennsylvania",76624
2004,603666,"Baldwin Park city, California",76572
13035,2751730,"Plymouth city, Minnesota",76258
24620,4806128,"Baytown city, Texas",76205
3336,681344,"Upland city, California",76155
6092,1702154,"Arlington Heights village, Illinois",75911
2404,624638,"Folsom city, California",75897
12016,2642160,"Kalamazoo city, Michigan",75833
6445,1724582,"Evanston city, Illinois",75557
15926,3410000,"Camden city, New Jersey",75550
2805,647766,"Milpitas city, California",75498
2762,645484,"Manteca city, California",75314
21628,4206088,"Bethlehem city, Pennsylvania",75240
10557,2241155,"Lake Charles city, Louisiana",75194
12373,2688940,"Wyoming city, Michigan",75124
4518,1236100,"Kendall CDP, Florida",75123
24585,4804462,"Atascocita CDP, Texas",75114
3145,668378,"San Ramon city, California",75048
2969,656700,"Perris city, California",75011
1092,428380,"Goodyear city, Arizona",74953
5058,1301052,"Albany city, Georgia",74892
26811,5114440,"Centreville CDP, Virginia",74627
4934,1271625,"The Villages CDP, Florida",74618
17012,3615000,"Cheektowaga CDP, New York",74597
6171,1707133,"Bolingbrook village, Illinois",74548
4205,1207875,"Boynton Beach city, Florida",74483
7169,1768003,"Schaumburg village, Illinois",74427
18281,3725580,"Gastonia city, North Carolina",74381
3333,681204,"Union City city, California",74354
3717,846465,"Loveland city, Colorado",74125
5643,1380508,"Warner Robins city, Georgia",74123
26421,4943660,"Layton city, Utah",73963
28359,5502375,"Appleton city, Wisconsin",73832
4373,1224125,"Fort Myers city, Florida",73712
18361,3734200,"Jacksonville city, North Carolina",73661
1650,535710,"Jonesboro city, Arkansas",73581
6361,1718823,"Decatur city, Illinois",73505
12233,2669035,"Rochester Hills city, Michigan",73458
4771,1256825,"Pine Hills CDP, Florida",73444
8537,1938595,"Iowa City city, Iowa",73415
26861,5121088,"Dale City CDP, Virginia",73279
12277,2674900,"Southfield city, Michigan",73228
11412,2481175,"Waldorf CDP, Maryland",73223
3976,950370,"New Britain city, Connecticut",73069
24234,4727740,"Franklin city, Tennessee",72990
23989,4652980,"Rapid City city, South Dakota",72841
25557,4848804,"Missouri City city, Texas",72688
7727,1840788,"Lafayette city, Indiana",72174
29063,5584250,"Waukesha city, Wisconsin",72173
1973,602364,"Apple Valley town, California",71916
3324,680812,"Turlock city, California",71906
26082,4872176,"Temple city, Texas",71795
23292,4454640,"Pawtucket city, Rhode Island",71770
19340,3912000,"Canton city, Ohio",71763
11090,2426000,"Ellicott City CDP, Maryland",71737
25027,4826232,"Flower Mound town, Texas",71575
2738,644574,"Lynwood city, California",71350
13411,2829700,"Gulfport city, Mississippi",71318
4125,1077580,"Wilmington city, Delaware",71276
11506,2524960,"Framingham CDP, Massachusetts",71232
16209,3456550,"Passaic city, New Jersey",71057
4571,1239550,"Lauderhill city, Florida",70963
14897,3050200,"Missoula city, Montana",70847
3033,659444,"Rancho Cordova city, California",70785
3047,659962,"Redlands city, California",70765
23599,4561405,"Rock Hill city, South Carolina",70764
27739,5353545,"Pasco city, Washington",70607
18807,3807200,"Bismarck city, North Dakota",70536
25612,4850820,"New Braunfels city, Texas",70317
24768,4813552,"Cedar Park city, Texas",70010
1066,423620,"Flagstaff city, Arizona",69903
16339,3474630,"Union City city, New Jersey",69815
5004,1276582,"Weston city, Florida",69802
2993,657456,"Pittsburg city, California",69449
11117,2430325,"Frederick city, Maryland",69330
7833,1851876,"Muncie city, Indiana",69237
7001,1757225,"Palatine village, Illinois",69099
25642,4852356,"North Richland Hills city, Texas",69039
14478,2964082,"St. Charles city, Missouri",69026
994,410670,"Casas Adobes CDP, Arizona",68919
11142,2432650,"Glen Burnie CDP, Maryland",68768
17516,3649121,"Mount Vernon city, New York",68671
3371,683346,"Walnut Creek city, California",68516
12891,2740166,"Maple Grove city, Minnesota",68362
4530,1236950,"Kissimmee city, Florida",68176
9050,1982425,"Waterloo city, Iowa",68146
3048,660018,"Redondo Beach city, California",67950
28541,5522300,"Eau Claire city, Wisconsin",67945
140,121184,"Dothan city, Alabama",67784
3443,686832,"Yorba Linda city, California",67740
13269,2771428,"Woodbury city, Minnesota",67648
10367,2208920,"Bossier City city, Louisiana",67511
2269,618100,"Davis city, California",67500
11127,2431175,"Gaithersburg city, Maryland",67417
4468,1232275,"Homestead city, Florida",67354
10542,2239475,"Kenner city, Louisiana",67253
3226,673262,"South San Francisco city, California",67120
2122,610046,"Camarillo city, California",67116
13100,2756896,"St. Cloud city, Minnesota",67093
2943,655282,"Palo Alto city, California",67082
24286,4737640,"Jackson city, Tennessee",66977
15876,3403580,"Bayonne city, New Jersey",66719
10887,2360545,"Portland city, Maine",66715
28867,5560500,"Oshkosh city, Wisconsin",66649
26164,4875428,"Victoria city, Texas",66515
4789,1257900,"Poinciana CDP, Florida",66465
4312,1217100,"Delray Beach city, Florida",66453
11345,2467675,"Rockville city, Maryland",66420
3448,686972,"Yuba City city, California",66229
27653,5343955,"Marysville city, Washington",66178
1755,550450,"North Little Rock city, Arkansas",66144
12600,2717288,"Eagan city, Minnesota",66102
17785,3665508,"Schenectady city, New York",65705
24291,4738320,"Johnson City city, Tennessee",65598
26532,4970850,"South Jordan city, Utah",65523
25142,4832372,"Harlingen city, Texas",65444
2615,639248,"Laguna Niguel city, California",65429
4304,1216525,"Daytona Beach city, Florida",65339
3117,665084,"San Clemente city, California",65226
15975,3419390,"East Orange city, New Jersey",65151
2144,611390,"Carmichael CDP, California",65091
25492,4846452,"Mansfield city, Texas",65033
8125,1901855,"Ames city, Iowa",65005
20382,3988000,"Youngstown city, Ohio",64852
9679,2064500,"Shawnee city, Kansas",64840
7201,1770122,"Skokie village, Illinois",64773
1494,515190,"Conway city, Arkansas",64481
2704,642202,"Lodi city, California",64403
9830,2108902,"Bowling Green city, Kentucky",64302
3503,809280,"Broomfield city, Colorado",64283
4919,1270675,"Tamarac city, Florida",64262
23441,4530850,"Greenville city, South Carolina",64061
2751,645022,"Madera city, California",64058
3151,669112,"Santa Cruz city, California",63993
28675,5537825,"Janesville city, Wisconsin",63957
5063,1301696,"Alpharetta city, Georgia",63929
2400,624477,"Florence-Graham CDP, California",63821
2977,656924,"Pico Rivera city, California",63750
19757,3944856,"Lorain city, Ohio",63731
12609,2718116,"Eden Prairie city, Minnesota",63660
2158,611964,"Castro Valley CDP, California",63625
2827,648816,"Montebello city, California",63468
1818,560410,"Rogers city, Arkansas",63411
4042,982660,"West Hartford CDP, Connecticut",63360
