,Unnamed: 0,baths,bedrooms,contentLen,pid,date2,latitude,link,longitude,numPic,date,rent,reposts,sqft,title,updateDate,zipcode,state2,region2
185,185,2.0,2.0,36,6850144846,Mar 25,32.766053,https://sandiego.craigslist.org/csd/apa/d/la-mesa-available-may-renovated-pets/6850144846.html,-117.051132,10,"2019-03-25T11:35:02-0700,2019-03-25T11:35:02-0700",1850.0,0,1000.0,"AVAILABLE MAY, RENOVATED, PETS WELCOME!","2019-03-25T11:35:02-0700,2019-03-25T11:35:02-0700",,California,La Mesa
186,186,2.0,2.0,20,6839811322,Mar 25,33.998988,https://losangeles.craigslist.org/wst/apa/d/venice-remodeled-lower-2-bed-on-4th-ave/6839811322.html,-118.476381,20,"2019-03-12T12:24:13-0700,2019-03-12T12:24:13-0700,2019-03-25T12:32:22-0700",3395.0,0,1200.0,"Remodeled lower 2 bed on 4th Ave! Quartz,new floors,balcony,parking!","2019-03-12T12:24:13-0700,2019-03-12T12:24:13-0700,2019-03-25T12:32:22-0700",,California,LA
187,187,2.0,2.0,13,6843123960,Mar 20,26.592288,https://fortmyers.craigslist.org/lee/apa/d/fort-myers-two-bedrooms-two-bathroom/6843123960.html,-81.880683,16,"2019-03-16T16:48:35-0400,2019-03-16T16:48:35-0400,2019-03-20T17:24:12-0400",1153.0,0,1000.0,"Two bedrooms, two bathroom, landscaping view,screen patio.","2019-03-16T16:48:35-0400,2019-03-16T16:48:35-0400,2019-03-20T17:24:12-0400",,Florida,Fort Myers
188,188,1.0,2.0,41,6839834603,Mar 25,32.802332,https://sandiego.craigslist.org/csd/apa/d/san-diego-paradise-palms-san-diego-2/6839834603.html,-117.218763,9,"2019-03-12T12:48:25-0700,2019-03-12T12:48:25-0700,2019-03-25T11:33:59-0700",2195.0,0,,Paradise Palms! San Diego! 2 Bedroom 1 Bath!,"2019-03-12T12:48:25-0700,2019-03-12T12:48:25-0700,2019-03-25T11:33:59-0700",,California,San Diego
190,190,2.0,2.0,19,6836870837,Mar 19,33.378047,https://phoenix.craigslist.org/cph/apa/d/phoenix-cardio-and-resistance-equipment/6836870837.html,-111.986312,9,"2019-03-08T16:25:57-0700,2019-03-08T16:25:57-0700,2019-03-19T13:19:10-0700",1043.0,0,940.0,"Cardio and Resistance Equipment, Breakfast Bar, Pool","2019-03-08T16:25:57-0700,2019-03-08T16:25:57-0700,2019-03-19T13:19:10-0700",,Arizona,Phoenix
191,191,1.0,3.0,11,6844390558,Mar 25,37.777337,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pet-friendly-nopa-3-bd/6844390558.html,-122.445044,10,"2019-03-18T10:37:20-0700,2019-03-18T10:37:20-0700,2019-03-25T09:54:46-0700",4900.0,0,1100.0,Pet Friendly NOPA 3 BD - Top Floor w/laundry on-site - Close to USF!,"2019-03-18T10:37:20-0700,2019-03-18T10:37:20-0700,2019-03-25T09:54:46-0700",,California,SF
193,193,1.0,1.0,10,6850688050,Mar 26,25.818805,https://miami.craigslist.org/mdc/apa/d/miami-beach-near-arthur-godfrey-road/6850688050.html,-80.127851,3,"2019-03-26T09:41:17-0400,2019-03-26T09:41:17-0400",1095.0,0,800.0,NEAR Arthur Godfrey Road (e blocks north),"2019-03-26T09:41:17-0400,2019-03-26T09:41:17-0400",,Florida,Miami Beach
194,194,1.0,1.0,21,6850453343,Mar 25,38.886089,https://washingtondc.craigslist.org/doc/apa/d/washington-capitol-hill-1-br-unit-2/6850453343.html,-77.002401,13,"2019-03-25T20:30:24-0400,2019-03-25T20:30:24-0400",1850.0,0,725.0,CAPITOL HILL 1 BR UNIT - 2 BLOCKS TO CAPITOL AND METRO (CAPITOL HILL),"2019-03-25T20:30:24-0400,2019-03-25T20:30:24-0400",,D.C.,Washington
196,196,1.0,1.0,32,6845404675,Mar 19,33.392348,https://phoenix.craigslist.org/cph/apa/d/phoenix-affordable-senior-living-55/6845404675.html,-112.073447,6,"2019-03-19T13:14:25-0700,2019-03-19T13:14:25-0700",559.0,0,700.0,Affordable Senior Living 55+,"2019-03-19T13:14:25-0700,2019-03-19T13:14:25-0700",,Arizona,Phoenix
197,197,2.0,3.0,22,6850167570,Mar 25,33.8315,https://losangeles.craigslist.org/wst/apa/d/long-beach-wonderful-home-in-bixby/6850167570.html,-118.1811,0,"2019-03-25T11:57:17-0700,2019-03-25T11:57:17-0700,2019-03-25T13:46:09-0700",2595.0,0,1350.0,Wonderful Home in Bixby Knolls!,"2019-03-25T11:57:17-0700,2019-03-25T11:57:17-0700,2019-03-25T13:46:09-0700",,California,Long Beach
198,198,1.0,0.0,29,6849999656,Mar 25,37.785165,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-efficiency-studio-with/6849999656.html,-122.419024,13,"2019-03-25T09:23:06-0700,2019-03-25T09:23:06-0700",2224.0,0,425.0,Efficiency studio with built in full size bed and dishwasher,"2019-03-25T09:23:06-0700,2019-03-25T09:23:06-0700",,California,SF
199,199,1.0,1.0,33,6850095914,Mar 25,32.775151,https://sandiego.craigslist.org/csd/apa/d/la-mesa-1-bedroom-upstairs-new-flooring/6850095914.html,-117.020874,10,"2019-03-25T10:48:49-0700,2019-03-25T10:48:49-0700",1445.0,0,705.0,"1 BEDROOM UPSTAIRS, NEW FLOORING , MUST SEE UNIT","2019-03-25T10:48:49-0700,2019-03-25T10:48:49-0700",,California,La Mesa
200,200,1.0,1.0,32,6850452713,Mar 25,38.94758,https://washingtondc.craigslist.org/doc/apa/d/washington-updated-1-bedroom-den-in/6850452713.html,-77.016516,15,"2019-03-25T20:29:26-0400,2019-03-25T20:29:26-0400",1795.0,0,750.0,Updated 1 Bedroom + Den in Petworth - First Month $500 Off!,"2019-03-25T20:29:26-0400,2019-03-25T20:29:26-0400",,D.C.,Washington
203,203,3.0,4.0,18,6849999096,Mar 25,37.72795,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-elegant-4-bed-3-ba-home/6849999096.html,-122.472102,21,"2019-03-25T09:22:39-0700,2019-03-25T09:22:39-0700",6750.0,0,,Elegant 4 BED 3  BA Home! LAUNDRY! Yard DAWN CUSULOS THRIVE LEASING,"2019-03-25T09:22:39-0700,2019-03-25T09:22:39-0700",,California,SF
205,205,1.0,0.0,15,6840534877,Mar 25,32.854268,https://sandiego.craigslist.org/csd/apa/d/top-floor-corner-unit-studio-move-in/6840534877.html,-117.255619,5,"2019-03-13T10:35:36-0700,2019-03-13T10:35:36-0700,2019-03-25T10:47:46-0700",1800.0,0,350.0,Top Floor Corner Unit Studio Move in Ready,"2019-03-13T10:35:36-0700,2019-03-13T10:35:36-0700,2019-03-25T10:47:46-0700",,California,San Diego
